Namespace;MatchMode
airflow;exact
app-routing-system;exact
argocd;exact
atlantis;exact
cattle-system;exact
cert-manager;exact
demonstracao;exact
edicius;exact
firewall;exact
grafana;contains
gravitee;exact
infra_psl;contains
ingress-nginx;exact
kmm;contains
kubecost;exact
kube-system;exact
monitor;contains
multi-automatiza-qa;exact
n8n;exact
nsdocs;exact
observability;exact
opencost;exact
opensearch;exact
opentelemetry-operator-system;exact
prometheus;contains
qa-zero-dois;exact
qa-zero-quatro;exact
qa-zero-tres;exact
qa-zero-um;exact
roteirizador;exact
routing;contains
telemetry;contains
